etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
9720726G,http://lycee-joseph-pernock.com/,Cité scolaire Joseph Pernock 97214 Le Lorrain,551,,
9740053P,https://www.lycee-georgesbrassens.re,16 avenue Georges Brassens BP 253 97493 Saint-Denis,1002,,
9740053P,https://www.lycee-georgesbrassens.re,16 avenue Georges Brassens BP 253 97493 Saint-Denis,1057,,
9740952S,http://lycee-pierre-poivre.ac-reunion.fr,35 rue Hippolyte Foucque BP 7 97480 Saint-Joseph,799,,
9740952S,http://lycee-pierre-poivre.ac-reunion.fr,35 rue Hippolyte Foucque BP 7 97480 Saint-Joseph,806,,
9741256X,https://lycee-levavasseur.re,4 rue Fénelon CS 91074 97404 Saint-Denis,800,,
9741256X,https://lycee-levavasseur.re,4 rue Fénelon CS 91074 97404 Saint-Denis,808,,
9741324W,http://lycee-mahatma-gandhi.ac-reunion.fr,ZAC Portes des Salazes BP 507 97440 Saint-André,924,,
9741324W,http://lycee-mahatma-gandhi.ac-reunion.fr,ZAC Portes des Salazes BP 507 97440 Saint-André,935,,
0721553X,http://ensim.univ-lemans.fr,,158,,http://commons.wikimedia.org/wiki/Special:FilePath/Ensim1.JPG
0340061G,https://charles-allies.mon-ent-occitanie.fr/,24 boulevard Joliot-Curie BP 74 34120 Pézenas,474,,
0340061G,https://charles-allies.mon-ent-occitanie.fr/,24 boulevard Joliot-Curie BP 74 34120 Pézenas,492,,
0590111A,https://lp-sonia-delaunay-lille.59.ac-lille.fr,121 rue de la Mitterie BP 20157 59461 Lille,609,,
0590111A,https://lp-sonia-delaunay-lille.59.ac-lille.fr,121 rue de la Mitterie BP 20157 59461 Lille,659,,
0130064Z,http://www.atrium-paca.fr/web/lp-lyc-metier-jean-baptiste-brochier-130101/accueil,9 boulevard Mireille Lauze 13010 Marseille,553,,
0130064Z,http://www.atrium-paca.fr/web/lp-lyc-metier-jean-baptiste-brochier-130101/accueil,9 boulevard Mireille Lauze 13010 Marseille,572,,
0920163C,http://www.lyc-girard-malakoff.ac-versailles.fr,85 rue Louis Girard 92240 Malakoff,242,,
0920163C,http://www.lyc-girard-malakoff.ac-versailles.fr,85 rue Louis Girard 92240 Malakoff,245,,
0580661D,http://www.lycee-varzy.fr,Route de Clamecy 58210 Varzy,,,
0671685T,https://www.epl67.fr,44 boulevard de l'Europe CS 50203 67212 Obernai,,,
0320051G,http://www.oratoire-auch.com,50 bis rue Victor Hugo BP 50061 32002 Auch,280,,
0320051G,http://www.oratoire-auch.com,50 bis rue Victor Hugo BP 50061 32002 Auch,311,,
0640017W,http://lycee-malraux-biarritz.fr,3 rue du 8 Mai 1945 BP 139 64203 Biarritz,670,,
0640017W,http://lycee-malraux-biarritz.fr,3 rue du 8 Mai 1945 BP 139 64203 Biarritz,680,,
0660004W,https://deodat-de-severac-ceret.mon-ent-occitanie.fr/,18 avenue des Tilleuls BP 315 66403 Céret,903,,
0660004W,https://deodat-de-severac-ceret.mon-ent-occitanie.fr/,18 avenue des Tilleuls BP 315 66403 Céret,944,,
0922276Z,http://www.lyc-santosdumont-st-cloud.ac-versailles.fr,39 rue Pasteur 92210 Saint-Cloud,498,,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20lyc%C3%A9e%20Santos-Dumont%20vu%20depuis%20le%20parc.jpg
0922276Z,http://www.lyc-santosdumont-st-cloud.ac-versailles.fr,39 rue Pasteur 92210 Saint-Cloud,511,,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20lyc%C3%A9e%20Santos-Dumont%20vu%20depuis%20le%20parc.jpg
0400139J,https://agricampus40.fr,366 route de Pomarez (antenne) CFA agricole et horticole des Landes 40250 Mugron,,,
